GeneID,Symbol,Description,Synonyms,Maestro score,FDR,Evidence,Tissues
12859,Cox5b,cytochrome c oxidase subunit Vb,Q9D881,26,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, MS/MS++""",all 14
66885,Acadsb,"""acyl-Coenzyme A dehydrogenase, short/branched chain""","1300003O09Rik, BB066609, Q9DBL1",25,0%,"""literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS++""",all 14
57837,Eral1,Era (G-protein)-like 1 (E. coli),"2610524P08Rik, 9130407C09Rik, AU019798, Era, M-ERA, MERA-S, MERA-W, Q9CZU4",25,0%,"""APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression++""",none
56199,Abcb10,"""ATP-binding cassette, sub-family B (MDR/TAP), member 10""","Abc-me, Abcb12, Q9JI39",25,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+""","cerebellum, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66821,Bcs1l,BCS1-like (yeast),"9130022O19Rik, Q9CZP5",25,0%,"""literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
72479,Hsdl2,hydroxysteroid dehydrogenase like 2,"2610207I16Rik, Q2TPA8",25,0%,"""APEX_matrix, GFP, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++""",all 14
67899,Cmc1,COX assembly mitochondrial protein 1,"2010110K16Rik, 2010312P05Rik, AI596001, Q9CPZ8",25,0%,"""APEX_IMS, GFP, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
109264,Me3,"""malic enzyme 3, NADP(+)-dependent, mitochondrial""","1700020C08Rik, B230207H15Rik, Q8BMF3",25,0%,"""literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
15510,Hspd1,heat shock protein 1 (chaperonin),"60kDa, Hsp60, P63038",25,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++""",all 14
75530,Lyrm7,LYR motif containing 7,"1700024C24Rik, 9330147L21Rik, Q9DA03",25,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66399,Tsfm,"""Ts translation elongation factor, mitochondrial""","2310050B20Rik, 9430024O13Rik, EF-TS, EF-Tsmt, Q9CZR8",25,0%,"""literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66071,Ethe1,ethylmalonic encephalopathy 1,"0610025L15Rik, Hsco, Q9DCM0",25,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta"
212647,Aldh4a1,"""aldehyde dehydrogenase 4 family, member A1""","A930035F14Rik, Ahd-1, Ahd1, Aldh4, Aldh5a1, E330022C09, P5cd, P5cdh, P5cdhl, P5cdhs, Ssdh1, Q8CHT0",25,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++""",all 14
22334,Vdac2,voltage-dependent anion channel 2,"Vdac6, mVDAC2, mVDAC6, Q60930",25,0%,"""literature, APEX_IMS, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++""",all 14
67892,Coa6,cytochrome c oxidase assembly factor 6,"1810063B05Rik, AI447995, Q8BGD8",25,0%,"""APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS""","cerebrum, cerebellum, spinalcord, liver, adipose, smallintestine, largeintestine, placenta, testis"
227683,Coq4,coenzyme Q4 homolog (yeast),"A330041N06, D2Ertd97e, Q8BGB8",25,0%,"""literature, targetP signal+, yeast mito homolog++, mito protein domain+, coexpression, MS/MS""","cerebrum, cerebellum, brainstem, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta"
56357,Ivd,isovaleryl coenzyme A dehydrogenase,"1300016K07Rik, 6720455E18Rik, AI463340, Q9JHI5",25,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression+, MS/MS++""",all 14
11370,Acadvl,"""acyl-Coenzyme A dehydrogenase, very long chain""","vlcad, P50544",25,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression+, MS/MS++""",all 14
13358,Slc25a1,"""solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1""","1300019P08Rik, 2610100G11Rik, AI194714, Ctp, Dgsj, Slc20a3, Q8JZU2",25,0%,"""literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
73095,Slc25a42,"""solute carrier family 25, member 42""","2900084M01Rik, Q8R0Y8",25,0%,"""literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++""",all 14
74610,Abcb8,"""ATP-binding cassette, sub-family B (MDR/TAP), member 8""","4833412N02Rik, AA409895, Q9CXJ4",25,0%,"""literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
595136,Ndufs5,NADH dehydrogenase (ubiquinone) Fe-S protein 5,"AI256693, Q99LY9",25,0%,"""literature, APEX_IMS, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
50529,Mrps7,mitchondrial ribosomal protein S7,"MRP-S7, Rpms7, Q80X85",25,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS""",all 14
72039,Mccc1,methylcrotonoyl-Coenzyme A carboxylase 1 (alpha),"1810045E08Rik, 2310058B18Rik, MCCalpha, Mcca, R75106, Q99MR8",25,0%,"""literature, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
18120,Mrpl49,mitochondrial ribosomal protein L49,"4833419D18Rik, Nof1, Q9CQ40",25,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++""",all 14
69487,Ndufaf5,"""NADH dehydrogenase (ubiquinone) complex I, assembly factor 5""","2310003L22Rik, A2APY7",25,0%,"""literature, APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS""","cerebellum, brainstem, skeletalmuscle, largeintestine, stomach, placenta"
69527,Mrps9,mitochondrial ribosomal protein S9,"2310002A08Rik, AW322516, Mrp-S9, S9mt, mg637, Q9D7N3",25,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS""",all 14
68342,Ndufb10,"""NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10""","0610011B04Rik, 22kDa, PDSW, Q9DCS9",24,0%,"""literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
83945,Dnaja3,"""DnaJ (Hsp40) homolog, subfamily A, member 3""","1200003J13Rik, 1810053A11Rik, C81173, Tid-1, Tid1l, Q99M87",24,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+""",all 14
56284,Mrpl19,mitochondrial ribosomal protein L19,"9030416F12Rik, 9130412E02Rik, D6Ertd157e, MRP-L15, RLX1, Rpml15, Q9D338",24,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
70478,Mipep,mitochondrial intermediate peptidase,"5730405E07Rik, MIP, A6H611",24,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, MS/MS++""","cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
641376,Tomm40l,translocase of outer mitochondrial membrane 40 homolog-like (yeast),Q9CZR3,24,0%,"""targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, stomach, testis"
76187,Adhfe1,"""alcohol dehydrogenase, iron containing, 1""","6330565B14Rik, AI043035, Adh8, Q8R0N6",24,0%,"""targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++""","kidney, liver, heart, adipose, stomach, placenta"
67426,Adck3,aarF domain containing kinase 3,"4632432J16Rik, AI462003, Cabc1, mKIAA0451, Q60936",24,0%,"""literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
71911,Bdh1,"""3-hydroxybutyrate dehydrogenase, type 1""","2310032J20Rik, AI327223, Bdh, Q80XN0",24,0%,"""literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++""",all 14
66169,Tomm7,translocase of outer mitochondrial membrane 7 homolog (yeast),"1110020J08Rik, AW047273, Tom7, Q9D173",24,0%,"""literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++""","cerebrum, cerebellum, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, stomach, placenta, testis"
15159,Hccs,holocytochrome c synthetase,P53702,24,0%,"""literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS""","cerebrum, spinalcord, heart, adipose, smallintestine, largeintestine, placenta, testis"
94063,Mrpl16,mitochondrial ribosomal protein L16,"2310039D06Rik, Q99N93",24,0%,"""literature, targetP signal, yeast mito homolog++, mito protein domain, coexpression++, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, placenta, testis"
19125,Prodh,proline dehydrogenase,"Pro-1, Pro1, Ym24d07, Q9WU79",24,0%,"""literature, targetP signal, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
107734,Mrpl30,mitochondrial ribosomal protein L30,"2310001L22Rik, MRP-L28, Rpml28, Q9D7N6",24,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression++, MS/MS""",all 14
67273,Ndufa10,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10,"2900053E13Rik, Q99LC3",24,0%,"""literature, targetP signal+, mito protein domain, coexpression++, MS/MS++""",all 14
212679,Mars2,methionine-tRNA synthetase 2 (mitochondrial),"C730026E21Rik, MetRS, Q499X9",24,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
53895,Clpp,"""ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit""","AU019820, D17Wsu160e, O88696",24,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
56248,Ak3,adenylate kinase 3,"AA407498, AI506714, AK-3, Ak3l, Ak3l1, Akl3l, Q9WTP7",24,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++""",all 14
234847,Spg7,spastic paraplegia 7 homolog (human),"AI452278, AU015315, Cmar, PGN, Q3ULF4",23,0%,"""literature, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
52892,Sco1,SCO cytochrome oxidase deficient homolog 1 (yeast),"2610001C07Rik, D11Bwg1310e, Q5SUC9",23,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
11983,Atpif1,ATPase inhibitory factor 1,"Atpi, If1, O35143",23,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++""",all 14
66075,Chchd3,coiled-coil-helix-coiled-coil-helix domain containing 3,"0610041L09Rik, 1700039J09Rik, AW558177, Q9CRB9",23,0%,"""literature, APEX_IMS, APEX_matrix, GFP, Rickettsial homolog, induction, coexpression++, MS/MS++""",all 14
338350,Acad12,"""acyl-Coenzyme A dehydrogenase family, member 12""","9330129D05Rik, D3Z7X0",23,0%,"""targetP signal+, mito protein domain+, coexpression+, MS/MS++""","cerebrum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
58875,Hibadh,3-hydroxyisobutyrate dehydrogenase,"6430402H10Rik, AI265272, Q99L13",23,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression+, MS/MS++""",all 14
384281,Gatc,"""glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)""","2010003O18Rik, Q8CBY0",23,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS""","cerebrum, cerebellum, spinalcord, kidney, largeintestine, testis"
12869,Cox8b,cytochrome c oxidase subunit VIIIb,"Cox8h, CoxVIII-H, P48772",23,0%,"""literature, targetP signal, mito protein domain+, induction, coexpression+, MS/MS++""",skeletalmuscle
20480,Clpb,ClpB caseinolytic peptidase B,"AL118244, Skd3, Q60649",23,0%,"""APEX_IMS, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66271,Tmem126a,transmembrane protein 126A,"1810020E01Rik, Q9D8Y1",23,0%,"""literature, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
104776,Aldh6a1,"""aldehyde dehydrogenase family 6, subfamily A1""","1110038I05Rik, AI314632, Mmsdh, Q9EQ20",23,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++""",all 14
68735,Mrps18c,mitochondrial ribosomal protein S18C,"1110037D14Rik, Q8R2L5",23,0%,"""literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
228026,Pdk1,"""pyruvate dehydrogenase kinase, isoenzyme 1""","B830012B01, D530020C15Rik, Q8BFP9",23,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain+, MS/MS++""",all 14
105675,Ppif,peptidylprolyl isomerase F (cyclophilin F),"AW457192, CyP-D, CyP-F, CypD, PPIase, Q99KR7",23,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog, mito protein domain, induction, coexpression, MS/MS++""",all 14
380840,Lyrm4,LYR motif containing 4,"BC034664, Gm903, Q8K215",23,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, induction, coexpression, MS/MS++""",all 14
51798,Ech1,"""enoyl coenzyme A hydratase 1, peroxisomal""","AA617331, O35459",23,0%,"""APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression+, MS/MS++""",all 14
52538,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),"0610011L04Rik, AI255831, AI265397, D18Ertd240e, Q8BWT1",23,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++""",all 14
66416,Ndufa7,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)""","14.5kDa, 2400007M02Rik, CI-B14.5a, Q9Z1P6",23,0%,"""literature, APEX_matrix, mito protein domain+, coexpression++, MS/MS++""",all 14
66223,Mrpl35,mitochondrial ribosomal protein L35,"1110066C01Rik, Q9CQL6",23,0%,"""literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++""","largeintestine, testis"
66904,Pccb,"""propionyl Coenzyme A carboxylase, beta polypeptide""","1300012P06Rik, AI314687, R74805, Q99MN9",23,0%,"""literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++""",all 14
71883,Coq2,"""coenzyme Q2 homolog, prenyltransferase (yeast)""","2310002F18Rik, Q66JT7",23,0%,"""literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+""",none
66448,Mrpl20,mitochondrial ribosomal protein L20,"2610008D01Rik, 4930425I20Rik, Q9CQL4",23,0%,"""literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
21854,Timm17a,translocase of inner mitochondrial membrane 17a,"17kDa, mTim17a, Q9Z0V8",23,0%,"""literature, APEX_IMS, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS+""",all 14
56322,Timm22,translocase of inner mitochondrial membrane 22,"2610511O07Rik, Tim22, Q9CQ85",23,0%,"""literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS""",all 14
66047,Mrpl54,mitochondrial ribosomal protein L54,"0610008M19Rik, D10Sut1e, Q9CPW3",23,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
223696,Tomm22,translocase of outer mitochondrial membrane 22 homolog (yeast),"2310047D01, Tom22, Q9CPQ3",22,0%,"""literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++""",all 14
12908,Crat,carnitine acetyltransferase,"AW107812, CARAT, P47934",22,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression, MS/MS++""",all 14
77721,Mrps5,mitochondrial ribosomal protein S5,"1620401I16Rik, AI850294, Q99N87",22,0%,"""literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS""","cerebrum, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
209692,Dhtkd1,dehydrogenase E1 and transketolase domain containing 1,"C330018I04Rik, A2ATU0",22,0%,"""APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS""","cerebrum, kidney, liver, adipose, placenta, testis"
70397,Tmem70,transmembrane protein 70,"1110020A09Rik, 2210416J16Rik, Q921N7",22,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression++, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66400,Alkbh7,"""alkB, alkylation repair homolog 7 (E. coli)""","2310045B01Rik, 2510008E23Rik, Abh7, Spata11, Q9D6Z0",22,0%,"""APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS""","cerebellum, brainstem, largeintestine, testis"
64655,Mrps22,mitochondrial ribosomal protein S22,"3100002P07Rik, Rpms22, Q9CXW2",22,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, induction, coexpression, MS/MS""",all 14
67530,Uqcrb,ubiquinol-cytochrome c reductase binding protein,"2210415M14Rik, QP-C, QPC, UQBC, UQBP, UQPC, Q9CQB4",22,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++""",all 14
12867,Cox7c,cytochrome c oxidase subunit VIIc,"COXVIIc, Cox7c1, P17665",22,0%,"""literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++""",all 14
69702,Ndufaf1,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1""","2410001M24Rik, CGI-65, CIA30, Q9CWX2",22,0%,"""literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++""","cerebellum, brainstem, spinalcord, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66948,Acad8,"""acyl-Coenzyme A dehydrogenase family, member 8""","2310016C19Rik, AI786953, Q9D7B6",22,0%,"""literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++""",all 14
70560,Wars2,tryptophanyl tRNA synthetase 2 (mitochondrial),"5730427B17Rik, 9430020O07Rik, AI413375, TrpRS, Q9CYK1",22,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS""","cerebrum, cerebellum, brainstem, kidney, skeletalmuscle, adipose, largeintestine, placenta, testis"
79044,Mrps34,mitochondrial ribosomal protein S34,"0610007F04Rik, 5330430D13Rik, AV001970, Tce2, Q9JIK9",22,0%,"""literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++""",all 14
78330,Ndufv3,NADH dehydrogenase (ubiquinone) flavoprotein 3,"1500032D16Rik, Q8BK30",22,0%,"""literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++""",all 14
68198,Ndufb2,"""NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2""","1810011O01Rik, 8kDa, AGGG, AI325567, CI-AGGG, Q9CPU2",22,0%,"""literature, targetP signal, induction, coexpression++, MS/MS++""",all 14
78830,Slc25a12,"""solute carrier family 25 (mitochondrial carrier, Aralar), member 12""","2610002D09Rik, AI839531, B230107K20Rik, BB129864, Q8BH59",22,0%,"""literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++""",all 14
11740,Slc25a5,"""solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5""","Ant2, P51881",22,0%,"""literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++""",all 14
66292,Mrps21,mitochondrial ribosomal protein S21,"1810031B19Rik, P58059",22,0%,"""literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++""",all 14
76467,Msrb2,methionine sulfoxide reductase B2,"2310050L06Rik, Mrsb, Msrb, Pilb, Q78J03",22,0%,"""APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis"
73046,Glrx5,glutaredoxin 5 homolog (S. cerevisiae),"2310004O13Rik, 2900070E19Rik, AU020725, Q80Y14",22,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS+""",all 14
103172,Chchd10,coiled-coil-helix-coiled-coil-helix domain containing 10,"1620401E04Rik, AI267078, Ndg2, Q7TNL9",22,0%,"""literature, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression++""",none
67876,Coq10b,coenzyme Q10 homolog B (S. cerevisiae),"1500041J02Rik, 1700030I21Rik, 9530077A17Rik, AV002237, AW742641, Q3THF9",22,0%,"""GFP, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta"
67554,Slc25a30,"""solute carrier family 25, member 30""","4933433D23Rik, AV025504, AV221431, AW319655, KMCP1, Q9CR58",21,0%,"""literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++""","cerebrum, cerebellum, liver, placenta, testis"
27376,Slc25a10,"""solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10""","Dic, Q9QZD8",21,0%,"""literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
50799,Slc25a13,"""solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13""","AI785475, Ctrn, Q9QXX4",21,0%,"""literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++""",all 14
12865,Cox7a1,cytochrome c oxidase subunit VIIa 1,"COX7A, COX7AH, COX7AM, P56392",21,0%,"""literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS+""","cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
67283,Slc25a19,"""solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19""","2900089E13Rik, DNC, MUP1, TPC, Q9DAM5",21,0%,"""literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS""","cerebellum, spinalcord, adipose, testis"
69029,Smdt1,single-pass membrane protein with aspartate rich tail 1,"1500032L24Rik, Q9DB10",21,0%,"""literature, targetP signal, mito protein domain+, induction, coexpression+, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, kidney, adipose, smallintestine, largeintestine, stomach, placenta, testis"
64657,Mrps10,mitochondrial ribosomal protein S10,"1110038B19Rik, AW743084, Rpms10, G5E8U5",21,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++""",all 14
216767,Mrpl22,mitochondrial ribosomal protein L22,"E030011D16Rik, HSPC158, MRP-L25, Rpml25, Q8BU88",21,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++""",all 14
114896,Afg3l1,AFG3(ATPase family gene 3)-like 1 (yeast),"1700047G05Rik, 3110061K15Rik, Q920A7",21,0%,"""literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, coexpression, MS/MS+""",all 14
14149,Fdxr,ferredoxin reductase,Q61578,21,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, coexpression, MS/MS++""","spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis"
380773,Slirp,SRA stem-loop interacting RNA binding protein,"1810035L17Rik, Q9D8T7",21,0%,"""literature, APEX_matrix, GFP, targetP signal+, mito protein domain, induction, coexpression, MS/MS++""",all 14
67811,Poldip2,"""polymerase (DNA-directed), delta interacting protein 2""","1300003F06Rik, Pdip38, Q91VA6",21,0%,"""literature, APEX_matrix, targetP signal+, induction, coexpression++, MS/MS++""",all 14
257633,Acsf3,acyl-CoA synthetase family member 3,"BB101783, Q3URE1",21,0%,"""APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++""",all 14
69089,Oxa1l,oxidase assembly 1-like,"1810020M02Rik, AI894287, Q8BGA9",21,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression""","cerebrum, brainstem, spinalcord, kidney, heart, adipose, smallintestine, largeintestine, placenta, testis"
